louvCluster	gene_name	Nmodel_E4carrier_DE	Nmodel_E4copies_DE	Nmodel_SexDE_E4carrierCov	Nmodel_SexDE_E4copiesCov	Nmodel_GlobAncDE_E4copiescov	totalTests_FDRpt2	gene_notes	maxAbsLFC
5HT.1	C3	0	0	4	4	0	8		2.30504358430891
5HT.1	C5orf63	0	0	4	4	0	8		2.52688433401993
5HT.1	CD74	0	0	4	4	0	8	mhc ii invariant chain	2.03630500416279
5HT.1	CHGB	0	0	4	0	0	4	chromogranin b, integral to of catecholamine vesicles formation. Kd depletes vesicle pool/oe increases it https://pmc.ncbi.nlm.nih.gov/articles/PMC3992281/	1.00236289053418
5HT.1	DDC	0	0	4	0	0	4		1.84645312266051
5HT.1	DUSP1	0	0	4	4	0	8		1.27632029972486
5HT.1	FA2H	0	0	4	0	0	4		1.04015000886764
5HT.1	FOS	0	0	4	0	0	4		1.44463870121198
5HT.1	GAD1	0	0	4	4	0	8		1.45801679391089
5HT.1	GSTT2B	0	0	0	0	2	2		1.80277915673614
5HT.1	HLA-DPA1	0	0	4	4	0	8		1.45591653956029
5HT.1	HLA-DRA	0	0	4	4	0	8		2.26326622923264
5HT.1	JUNB	0	0	4	4	0	8		1.20628997410838
5HT.1	MTRNR2L3	0	0	4	4	0	8		1.56458447580625
5HT.1	PENK	0	0	4	4	0	8		1.50249648346013
5HT.1	SLC32A1	0	0	4	4	0	8		1.61633397800219
5HT.2	APOC1	0	0	0	0	2	2		1.36614549408992
5HT.2	C5orf63	0	0	4	4	0	8		3.1917148640827
5HT.2	CD74	0	0	4	4	0	8	mhc ii invariant chain	2.13258478628465
5HT.2	DUSP1	0	0	4	4	0	8		1.48505754045319
5HT.2	EDNRB	0	0	4	4	0	8	involved in neural crest (which gives rise to peripheral autonomic ganglia and melanocytes--ie found in lc cousin cell types) migration in development	1.07869793827167
5HT.2	GAD1	0	0	4	4	0	8		1.64823920107282
5HT.2	GAD2	0	0	0	4	0	4		1.03075945474744
5HT.2	HBA2	0	0	4	4	0	8		1.50571349610398
5HT.2	HBB	0	0	4	4	0	8		1.29639798958408
5HT.2	MT-CO2	0	0	0	0	2	2		1.15193659025669
5HT.2	MT-CO3	0	0	0	0	2	2		1.08992793798612
5HT.2	MT-CYB	0	0	0	0	2	2		1.00360137644097
5HT.2	MT-ND3	0	0	0	0	2	2		1.22696186420874
5HT.2	MTRNR2L3	0	0	4	4	0	8		1.3816430689144
5HT.2	PENK	0	0	4	4	0	8		1.23458107717364
5HT.2	PLEKHH1	0	0	4	4	0	8		1.06928521404322
5HT.2	SPTBN2	0	0	4	4	0	8		1.05477888643159
5HT.2	SST	0	0	4	4	0	8		1.28846013650695
5HT.2	SYNPR	0	0	0	4	0	4		1.19783093951564
5HT.2	TMEM63B	0	0	4	4	0	8		1.17721112899348
5HT.2	TRIL	0	0	4	4	0	8	putatively modulates activity of tlr4--shown in one paper in an astrocyte line and indirectly w lps challenge in ko mice in hypothal	1.10644827875458
5HT.2	UNC119	0	0	4	4	0	8		1.01122523422238
LC.1	AQP1	0	0	4	4	0	8		1.00796972122492
LC.1	C3	0	0	4	4	0	8		2.61722463995846
LC.1	C5orf63	0	0	4	4	0	8		3.19708006415096
LC.1	CD74	0	0	4	4	0	8	mhc ii invariant chain	1.55633997506099
LC.1	CHGB	0	0	4	4	0	8	chromogranin b, integral to of catecholamine vesicles formation. Kd depletes vesicle pool/oe increases it https://pmc.ncbi.nlm.nih.gov/articles/PMC3992281/	1.28615227598654
LC.1	CRYBB2	0	0	0	0	2	2		2.26530733201906
LC.1	DUSP1	0	0	4	4	0	8		1.2765296883473
LC.1	EIF3L	0	0	4	4	0	8		1.21076371382021
LC.1	FKBP2	0	0	4	4	0	8	ER chaperone/folding assistant; induced by protein misfolding stress	1.08776140469701
LC.1	FOS	0	0	4	4	0	8		1.59408912494088
LC.1	GATD3B	0	0	0	0	2	2		2.47357174492475
