gene	clust	test	gene_notes
ADCYAP1	X4	sex	neuropeptide
AGT	LC.1	apo_carrier	
ALKBH7	LC.1	sex	
ALKBH7	LC.1_Nmpos	sex	
APC2	X1	sex	ncbi This gene has its highest expression in the central nervous system and is involved in brain development through cytoskeletal regulation in neurons. Alternative splicing produces multiple transcript variants encoding distinct isoforms
APOC1	5HT.2	CEU	
APOC1	X1	CEU	
APOC1	X2	CEU	
APOLD1	X4	sex	Uniprot: may affect BBB permeability
APOLD1	X7	sex	Uniprot: may affect BBB permeability
ASTN1	5HT.2	CEU	
ASTN1	X2	CEU	
ATN1	X1	sex	
ATN1	X4	sex	
C1QA	X4	sex	hi lfc
C1QB	X4	sex	hi lfc
C1QTNF4	LC.1	apo_copies	
C3	5HT.1	sex	
C3	LC.1	sex	
C3	X2	sex	
C3	X4	sex	
C3	X7	sex	
C3	X9	sex	
CABLES1	X2	sex	astrocyte state marker in sadick 22 neuron
CABLES1	X2	CEU	astrocyte state marker in sadick 22 neuron
CACYBP	X1	CEU	uniprot May be involved in calcium-dependent ubiquitination and subsequent proteasomal degradation of target proteins. Probably serves as a molecular bridge in ubiquitin E3 complexes. Participates in the ubiquitin-mediated degradation of beta-catenin
CARTPT	LC.1_NMneg	apo_copies	
CD74	5HT.1	sex	
CD74	5HT.2	sex	
CD74	LC.1	sex	
CD74	LC.1_NMneg	sex	
CD74	LC.1_Nmpos	sex	
CD74	X1	sex	
CD74	X2	sex	
CD74	X7	sex	
CD74	X8	sex	
CD74	X9	sex	
CELF5	X1	CEU	RNA binding protein
CHGB	5HT.1	sex	
CHGB	5HT.2	sex	
CHGB	LC.1	sex	
CHGB	LC.1_NMneg	sex	
CHGB	LC.1_Nmpos	sex	
CHGB	X2	sex	
CRHBP	5HT.1	CEU	
CX3CR1	X4	apo_carrier	
CX3CR1	X4	sex	
DMWD	X2	CEU	regulates deubiquitanase complexes
DNM3	X1	sex	Microtubule-associated transport
DNM3	X2	sex	Microtubule-associated transport
